STATE,FY_CLIPPED,STATE_YEAR_COAL_PRICE_MMBTU,STATE_YEAR_ELECTRICITY_PRICE_MMBTU,STATE_YEAR_NATURAL_GAS_PRICE_MMBTU,STATE_YEAR_PETROLEUM_PRICE_MMBTU,STATE_YEAR_TOTAL_PRICE_MMBTU,STATE_YEAR_ELEC_GAS_RATIO,CURRENT_PRICE_YEAR,CURRENT_COAL_PRICE_MMBTU,CURRENT_ELECTRICITY_PRICE_MMBTU,CURRENT_NATURAL_GAS_PRICE_MMBTU,CURRENT_PETROLEUM_PRICE_MMBTU,CURRENT_TOTAL_PRICE_MMBTU,CURRENT_ELEC_GAS_RATIO
CO,1978,1.53,6.91,1.53,2.61,2.61,4.516339869281046,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1979,1.62,8.01,2.1,3.42,3.22,3.814285714285714,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1980,1.66,9.4,2.65,5.11,4.15,3.547169811320755,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1981,1.84,10.79,3.42,6.26,4.87,3.154970760233918,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1982,1.66,12.87,3.98,5.73,5.15,3.2336683417085426,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1983,1.38,12.33,4.26,6.4,5.5,2.894366197183099,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1984,1.31,12.44,4.25,6.19,5.72,2.9270588235294115,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1985,1.31,12.67,4.01,6.21,5.77,3.1596009975062347,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1986,1.24,12.95,3.82,4.85,5.36,3.3900523560209423,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1987,1.37,12.78,3.6,4.45,5.32,3.55,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1988,1.36,13.22,3.43,4.32,5.17,3.8542274052478134,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1989,1.34,13.32,2.5,4.84,4.94,5.328,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1990,1.28,13.16,2.77,5.12,5.17,4.750902527075812,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1991,1.39,13.37,2.27,5.57,5.09,5.889867841409691,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1992,1.51,13.45,2.16,5.41,5.03,6.226851851851851,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1993,1.37,13.25,2.33,5.33,4.84,5.686695278969957,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1994,1.35,13.42,2.38,4.98,5.33,5.638655462184874,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1995,1.21,13.23,2.82,5.32,5.61,4.6914893617021285,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1996,1.08,12.74,2.87,6.02,5.84,4.439024390243902,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1997,1.17,12.55,2.99,6.56,6.02,4.197324414715719,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1998,1.12,12.71,2.53,5.13,5.2,5.023715415019764,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1999,1.13,12.83,3.08,5.76,5.74,4.165584415584416,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2000,1.11,12.47,4.69,7.1,6.78,2.6588486140724945,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2001,1.25,13.12,6.55,8.27,7.85,2.003053435114504,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2002,1.19,13.26,4.76,8.04,6.83,2.7857142857142856,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2003,1.2,14.95,4.42,7.51,7.07,3.3823529411764706,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2004,1.44,14.96,6.5,9.6,8.79,2.3015384615384615,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2005,1.56,16.81,8.45,12.78,10.79,1.9893491124260356,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2006,1.78,17.24,11.19,15.85,13.45,1.5406613047363718,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2007,1.91,17.49,7.02,15.88,11.47,2.4914529914529915,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2008,1.89,19.49,8.63,20.8,13.82,2.2584009269988408,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2009,1.96,18.72,6.47,16.57,11.49,2.893353941267388,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2010,1.96,20.24,5.74,19.91,12.55,3.526132404181184,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2011,2.05,20.69,6.23,25.08,15.83,3.321027287319422,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2012,2.89,20.36,5.58,25.37,15.36,3.6487455197132617,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2013,2.92,21.51,5.71,24.72,14.99,3.7670753064798603,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2014,2.91,21.91,6.54,24.25,15.48,3.350152905198777,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2015,2.82,21.69,5.44,18.52,13.32,3.9871323529411766,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2016,3.03,21.54,4.62,16.15,12.16,4.662337662337662,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2017,2.51,21.99,5.27,17.6,12.82,4.172675521821632,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2018,2.69,21.89,4.93,19.94,13.63,4.440162271805274,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2019,2.61,21.68,4.97,19.06,13.14,4.362173038229376,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2020,2.5,21.93,4.63,16.62,12.51,4.736501079913607,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2021,2.53,23.46,6.75,21.14,15.03,3.4755555555555557,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2022,2.91,25.3,9.67,28.74,18.96,2.6163391933815925,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2023,3.37,24.91,8.13,25.42,17.1,3.0639606396063956,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,2024,3.32,25.27,7.26,23.79,,3.4807162534435263,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CT,1970,0.79,4.27,1.03,0.65,1.1,4.1456310679611645,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1971,0.79,4.7,1.14,0.78,1.32,4.1228070175438605,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1972,0.92,5.4,1.15,0.83,1.48,4.695652173913044,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1973,1.1,5.96,1.24,0.95,1.65,4.806451612903226,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1974,1.42,9.1,1.71,2.17,3.07,5.321637426900585,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1975,2.0,10.51,2.24,2.3,3.45,4.691964285714286,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1976,1.6,10.39,2.65,2.33,3.38,3.9207547169811323,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1977,1.69,10.85,2.94,2.56,3.68,3.6904761904761902,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1978,1.69,10.85,3.04,2.59,3.71,3.569078947368421,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1979,1.56,12.86,3.25,3.74,5.18,3.9569230769230765,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1980,0.0,16.6,4.08,5.21,6.9,4.068627450980393,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1981,1.89,20.63,4.97,6.87,9.77,4.150905432595573,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1982,1.99,21.87,5.86,6.28,9.66,3.7320819112627985,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1983,1.98,22.0,5.76,6.46,10.33,3.8194444444444446,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1984,2.68,22.42,5.47,6.51,10.13,4.098720292504571,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1985,2.39,21.93,5.38,6.39,9.78,4.0762081784386615,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1986,2.58,20.0,4.53,4.95,8.51,4.415011037527593,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1987,2.74,19.93,4.08,4.95,8.21,4.884803921568627,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1988,2.55,20.17,3.92,4.7,8.22,5.145408163265307,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1989,2.61,21.11,4.36,5.14,9.0,4.841743119266055,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1990,2.58,22.13,4.65,5.86,9.66,4.759139784946236,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1991,2.69,23.23,4.69,5.36,9.21,4.953091684434968,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1992,2.64,24.09,4.79,5.19,9.22,5.029227557411273,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1993,2.33,24.3,4.64,5.21,9.08,5.237068965517242,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1994,2.2,23.15,4.35,5.42,9.3,5.32183908045977,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1995,0.0,23.26,4.26,5.65,9.41,5.460093896713616,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1996,0.0,23.03,4.67,6.26,9.69,4.9314775160599575,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1997,0.0,22.74,4.6,7.06,9.89,4.943478260869565,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1998,0.0,22.56,4.23,6.8,9.99,5.333333333333332,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,1999,0.0,21.76,4.05,6.96,9.69,5.3728395061728405,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2000,0.0,21.44,5.79,9.1,10.88,3.70293609671848,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2001,0.0,22.34,6.62,8.58,11.63,3.3746223564954683,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2002,0.0,22.51,4.85,8.74,10.76,4.641237113402062,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2003,0.0,23.41,7.33,8.57,11.64,3.193724420190996,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2004,0.0,23.12,9.1,9.56,12.7,2.540659340659341,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2005,3.47,27.55,11.39,12.41,15.45,2.4187884108867426,2024,0.0,50.18,6.61,21.58,,7.591527987897125
CT,2006,0.0,34.31,10.58,15.56,18.21,3.242911153119093,2024,0.0,50.18,6.61,21.58,,7.591527987897125
