ARC,ARC_2DIGIT,impl_rate,n_recs,median_benchmark_energy,median_benchmark_dollar,median_technical_total,median_real_historical_value,median_state_year_standardized_value,median_current_value,sector_mode,primary_source_group_mode,primary_fuel_bucket_mode
2.3311,2.3,0.4666666666666667,15,813.925776,17849.0,813.925776,19275.589760260544,18621.355438847997,32489.527506552004,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.3135,2.3,0.45454545454545453,11,1.907308,4367.0,1.907308,7117.984944745511,20.42726868,47.73991924,Unknown,electricity,electricity
2.4236,2.4,0.7373894007114841,10963,138.41426280000002,2674.0,138.64662,3052.0,2422.8008076,3345.7017009600004,Unknown,electricity,electricity
2.4231,2.4,0.4660910518053375,6370,77.114612,1649.5,77.114612,1862.0,1396.951656438,1927.48595384,Metal/Machinery/Electronics,electricity,electricity
2.4221,2.4,0.43625922887612795,6095,50.999164,949.0,50.999164,1189.62959057194,815.6483924400001,1248.79128348,Unknown,electricity,electricity
2.4133,2.4,0.5996097214830584,5637,89.926672,1740.0,89.998324,2422.520594434638,1375.3151016,2370.9945350000003,Unknown,electricity,electricity
2.4111,2.4,0.5230250842381131,5342,63.998884,1279.5,63.998884,1590.578555527437,1047.9125444704,1576.3731726,Unknown,electricity,electricity
2.4146,2.4,0.2802132701421801,5064,332.105314,7626.5,332.105314,8256.017204637923,7605.26177876,10220.05323324,Metal/Machinery/Electronics,electricity,electricity
2.4239,2.4,0.42737003058103973,2616,129.49393,2857.0,130.53970800000002,3151.4587680842856,2442.7358352288,3254.863752,Metal/Machinery/Electronics,electricity,electricity
2.4322,2.4,0.3771991555242787,1421,186.11299920000002,4318.0,199.0,4845.0,3402.67868896,4625.574700800001,Metal/Machinery/Electronics,electricity,electricity
2.4314,2.4,0.45750452079566006,1106,56.1727796,1156.5,56.1727796,1442.2965743432665,863.2127131,1246.19267016,Unknown,electricity,electricity
2.4224,2.4,0.3982808022922636,1047,341.2,6499.0,342.7354,7077.374550526623,5877.2906087408,8049.38881904,Metal/Machinery/Electronics,electricity,electricity
2.4226,2.4,0.40658174097664546,942,319.904002,6407.0,320.501102,7344.520219179762,5729.18023216,7650.545825700001,Metal/Machinery/Electronics,electricity,electricity
2.4151,2.4,0.7449139280125195,639,107.157272,2175.0,107.157272,2327.6799549507828,2019.2888559792,2486.32289872,Metal/Machinery/Electronics,electricity,electricity
2.4312,2.4,0.42387543252595156,578,81.00088000000001,1500.0,81.00088000000001,1816.5591849721595,1245.79126542,2072.98134496,Unknown,electricity,electricity
2.4131,2.4,0.35,400,264.630455,5970.0,264.630455,6977.037206449984,5050.2217971400005,7570.53985078,Unknown,electricity,electricity
2.4323,2.4,0.34190231362467866,389,190.67962,4846.0,192.000064,5419.0,3505.4985924400003,4344.22421748,Metal/Machinery/Electronics,electricity,electricity
2.4157,2.4,0.8442028985507246,276,238.802468,4449.5,238.802468,4625.166830823813,4470.042263400001,5377.4242548,Chemical/Plastics/Paper/Rubber,electricity,electricity
