ARC,ARC_2DIGIT,n_recs,energy_frac_q75,energy_frac_q90,value_frac_q75,value_frac_q90,energy_p25,energy_median,energy_p75,current_value_median,benchmark_dollar_median,payback_median,impl_rate_hist
2.2491,2.2,38,0.04902171003516588,0.06801832262933992,0.03541900481275298,0.09100900145908783,188.909796,693.0,1271.5,5514.545,3405.5,1.50108407256975,0.18421052631578946
2.2492,2.2,113,0.10908958793762849,0.1458936652759717,0.07295408687745303,0.11913040200752523,596.3904,1653.0,3836.510804,14813.61992352,12003.0,2.2159339407745,0.1592920353982301
2.2511,2.2,4276,0.019425172738469925,0.04654994240165846,0.02186223297701812,0.05523780391669861,65.0,210.08960000000002,684.445323,2337.59867132,1817.65,0.57724957555178,0.45042095416276895
2.2514,2.2,492,0.032087499750351876,0.07577959640576569,0.029609287968591108,0.08108436672622574,105.5,378.48884,1153.5,3566.505,2885.0,0.44922680412370997,0.3617886178861789
2.2515,2.2,421,0.029958275349756373,0.07145335028044722,0.03143268030031238,0.07932595842942379,89.0,307.001524,1035.0,3705.1945248000006,3010.0,0.71858500527983,0.38004750593824227
2.2521,2.2,16,0.013996566617903662,0.031881163044863076,0.02367445589633961,0.03428471084730832,152.26189,218.924804,804.033768,3481.0196464,1708.5,1.0679611650485,0.5625
2.2522,2.2,113,0.016359286687650926,0.04623678325020352,0.018785393096457735,0.06529071767703049,63.981824,191.000348,581.0,2832.6007736,2460.0,0.685784812526355,0.4247787610619469
2.2523,2.2,144,0.028244140521793925,0.05875569405928752,0.036847383715609784,0.07032800019841737,57.994617,172.526074,485.260611,3527.01531272,2804.0,0.58100558659218,0.4722222222222222
2.2524,2.2,20,0.027563165061997862,0.04513256779438721,0.02864674852047389,0.05933120789705773,165.66966000000002,586.663566,3325.25,9569.41953328,5563.0,0.72,0.3
2.2525,2.2,19,0.033375721028996046,0.08147276051746806,0.054575546417822,0.10602856424686452,247.062734,486.0,1887.4154429,8736.002912,8129.0,0.435225533628675,0.3157894736842105
2.2531,2.2,209,0.036347602244401915,0.06959596826896873,0.03821672980539434,0.06421342381856616,130.0,320.0,785.0,3192.16,2790.0,0.68416700583367,0.42105263157894735
2.2532,2.2,72,0.06938255407377554,0.11681498987215591,0.05703941819396339,0.09010340598287037,125.999796,332.500712,1348.750018,2761.5414258399996,2394.5,0.36159826432833,0.4722222222222222
2.2533,2.2,20,0.04559173207611585,0.0654613305341106,0.03892755249054754,0.058202932856177454,139.3165,261.34605999999997,571.0327010000001,2354.5106427,2540.0550000000003,1.2084592145015,0.3
2.2611,2.2,54,0.012470607967843241,0.032575348929292015,0.029462280668825235,0.0780963198215428,69.35743,204.39586,427.25064000000003,5508.1014663999995,3033.475,0.5524861878453,0.37037037037037035
2.2612,2.2,122,0.031128833943373485,0.06683349314892573,0.08343673160998098,0.16838930566681204,153.750691,498.99988199999996,1405.434361,15058.61775198,8739.0,1.6539495438129999,0.28688524590163933
2.2614,2.2,398,0.027064365848582732,0.04823459267033099,0.05261453550411377,0.09779477966455984,145.507299,361.92107599999997,872.1890880000001,10988.049104819998,7406.224,1.4055153885662501,0.2236180904522613
2.2615,2.2,18,0.014926130186381968,0.03247342800547022,0.04109208538462908,0.08545047476561983,184.492811,309.036782,941.249674,6418.450533000001,4288.5,2.03461235481305,0.7222222222222222
2.2621,2.2,328,0.029098431967068503,0.055401519037807476,0.07292337308799893,0.13065679459712534,173.498494,446.99929599999996,1166.508208,11454.6838296,7396.0,1.9300889248181,0.3475609756097561
2.2622,2.2,303,0.06074831004872268,0.12522725921804403,0.1041231502275482,0.18337683198413188,239.925016,747.999112,2336.129866,17805.296808,17890.0,2.3391173325557,0.3564356435643564
2.2623,2.2,70,0.016857077410061202,0.031405628556766846,0.032594141154367894,0.07228444107472816,68.499312,213.891456,576.652737,5372.0717651,3968.5,0.931356093742885,0.42857142857142855
2.2624,2.2,14,0.02303852650034913,0.033753281361183815,0.0455936789507668,0.10148819270490886,282.99981,822.500132,1105.352373,20858.52111832,14138.0,1.5788434971383,0.21428571428571427
2.2625,2.2,204,0.013714947732032419,0.037442828865016146,0.024797506370225948,0.05085039661343623,49.758049,160.498774,475.847756,3704.5446411599996,2896.5,0.11337868480726,0.4264705882352941
